# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/j8hwang/lab5/tagdirs/Oct4
#
# total peaks = 2203
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1733716.0
# Total tags in peaks = 45928.0
# Approximate IP efficiency = 2.65%
# tags per bp = 0.000795
# expected tags per peak = 0.060
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.024429e-07
# FDR tag threshold = 4.0
# number of putative peaks = 95516
#
# input tag directory = /home/j8hwang/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 90247
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3065
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/j8hwang/lab5/tagdirs/Oct4 -i /home/j8hwang/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-68	17	17740173	17740247	+	496.0	0.892	52.000000	85.4	6.0	14.23	1.31e-65	29.07	8.10e-91	0.95
17-59	17	78635807	78635881	+	490.3	0.809	54.000000	84.4	7.0	12.06	2.92e-59	23.68	1.54e-83	0.91
17-89	17	85646439	85646513	+	490.3	0.775	49.000000	87.4	3.0	29.12	7.91e-93	27.77	3.38e-89	1.01
17-79	17	9580168	9580242	+	484.5	0.766	50.000000	83.4	2.0	41.70	3.40e-101	26.21	3.90e-85	0.98
17-94	17	47914900	47914974	+	484.5	0.763	47.000000	83.4	2.0	41.70	3.40e-101	25.06	1.36e-82	1.11
17-67	17	86751664	86751738	+	484.5	0.838	53.000000	83.4	2.0	41.70	3.40e-101	20.19	3.95e-76	0.92
17-62	17	9722837	9722911	+	478.7	0.726	53.000000	83.4	4.0	20.85	4.56e-77	33.71	1.12e-91	0.93
17-99	17	29008080	29008154	+	478.7	0.613	46.000000	82.4	5.0	16.48	3.12e-68	17.45	2.64e-70	1.06
17-112	17	51462277	51462351	+	478.7	0.623	45.000000	82.4	3.0	27.47	1.45e-85	31.70	1.69e-88	1.06
17-83	17	29467598	29467672	+	473.0	0.727	49.000000	83.4	3.0	27.80	5.22e-87	17.60	9.16e-70	1.00
17-91	17	47818221	47818295	+	473.0	0.790	48.000000	83.4	3.0	27.80	5.22e-87	23.84	5.80e-79	1.00
17-102	17	43197436	43197510	+	467.2	0.791	46.000000	80.4	2.0	40.21	2.34e-96	35.77	1.43e-92	1.06
17-103	17	49048104	49048178	+	467.2	0.720	46.000000	80.4	2.0	40.21	2.34e-96	31.07	6.71e-89	1.05
17-74	17	52728960	52729034	+	467.2	0.688	51.000000	81.4	2.0	40.71	5.79e-98	45.81	3.39e-102	0.96
17-54	17	53551638	53551712	+	467.2	0.716	55.000000	80.4	1.0	80.42	5.20e-120	21.29	2.76e-74	0.88
17-77	17	90995568	90995642	+	467.2	0.722	51.000000	80.4	4.0	20.10	3.93e-73	34.14	4.12e-92	0.94
17-28	17	62049135	62049209	+	461.4	0.740	69.000000	81.4	3.0	27.14	3.95e-84	25.15	9.77e-81	0.71
17-90	17	27611027	27611101	+	455.7	0.774	48.000000	79.4	2.0	39.71	9.38e-95	28.03	2.47e-83	0.99
17-57	17	11533974	11534048	+	449.9	0.733	54.000000	81.4	3.0	27.14	3.95e-84	20.11	9.56e-70	0.87
17-93	17	33600040	33600114	+	444.1	0.667	47.000000	76.4	2.0	38.22	5.57e-90	18.29	9.21e-67	0.98
17-65	17	63533232	63533306	+	444.1	0.544	53.000000	76.4	1.0	76.45	1.98e-112	20.36	3.99e-70	0.87
17-108	17	24203283	24203357	+	438.4	0.638	45.000000	76.4	6.0	12.74	1.97e-55	15.75	2.46e-61	1.02
17-76	17	84713899	84713973	+	438.4	0.616	51.000000	75.5	6.0	12.58	2.49e-54	18.11	1.30e-65	0.90
17-106	17	88404719	88404793	+	438.4	0.620	46.000000	78.4	3.0	26.14	7.51e-80	23.95	3.05e-75	1.03
17-84	17	43592497	43592571	+	432.6	0.716	49.000000	74.5	4.0	18.62	2.09e-65	22.66	1.49e-72	0.96
17-100	17	31819522	31819596	+	426.8	0.643	46.000000	73.5	4.0	18.37	3.86e-64	18.61	9.89e-65	0.98
17-85	17	70403923	70403997	+	421.1	0.636	49.000000	72.5	3.0	24.16	1.91e-71	32.20	2.12e-81	0.90
17-86	17	70772767	70772841	+	421.1	0.572	49.000000	72.5	2.0	36.24	1.07e-83	17.50	6.97e-63	0.94
17-82	17	6860692	6860766	+	415.3	0.659	49.000000	74.5	3.0	24.82	3.18e-74	16.93	3.03e-60	0.91
17-72	17	29494502	29494576	+	415.3	0.742	51.000000	71.5	6.0	11.91	5.64e-50	14.84	3.30e-57	0.88
17-80	17	36982311	36982385	+	415.3	0.556	50.000000	71.5	7.0	10.21	1.19e-45	13.31	2.59e-53	0.91
17-73	17	51839660	51839734	+	415.3	0.851	51.000000	71.5	2.0	35.74	3.86e-82	20.34	1.34e-65	0.87
17-81	17	86926855	86926929	+	415.3	0.705	50.000000	71.5	2.0	35.74	3.86e-82	28.30	2.28e-75	0.91
17-92	17	93482502	93482576	+	415.3	0.613	48.000000	71.5	3.0	23.83	4.59e-70	27.26	3.28e-72	0.91
17-98	17	23789953	23790027	+	409.5	0.679	46.000000	70.5	3.0	23.50	1.09e-68	15.41	9.60e-57	0.98
17-78	17	3157257	3157331	+	403.8	0.758	50.000000	69.5	2.0	34.75	4.81e-79	26.31	3.47e-70	0.90
17-111	17	40893372	40893446	+	403.8	0.739	45.000000	69.5	2.0	34.75	4.81e-79	32.27	4.26e-77	0.97
17-134	17	63583003	63583077	+	403.8	0.767	41.000000	69.5	5.0	13.90	7.18e-53	33.20	6.25e-78	1.07
17-56	17	88334062	88334136	+	403.8	0.773	55.000000	69.5	1.0	69.50	2.18e-99	23.33	1.09e-68	0.83
17-109	17	36995600	36995674	+	398.0	0.607	45.000000	68.5	2.0	34.25	1.66e-77	11.46	4.43e-47	0.96
17-75	17	53592082	53592156	+	398.0	0.806	51.000000	68.5	4.0	17.13	6.83e-58	17.59	5.25e-58	0.84
17-105	17	83750397	83750471	+	398.0	0.609	46.000000	70.5	7.0	10.07	1.21e-44	14.40	4.63e-54	0.97
17-113	17	13380192	13380266	+	392.2	0.927	44.000000	68.5	6.0	11.42	8.98e-47	64.74	4.05e-96	1.01
17-123	17	40495661	40495735	+	386.5	0.762	42.000000	66.5	6.0	11.09	1.14e-44	23.35	6.84e-65	1.01
17-95	17	56631924	56631998	+	380.7	0.748	47.000000	65.5	1.0	65.53	4.53e-92	18.00	6.22e-57	0.91
17-104	17	66439647	66439721	+	380.7	0.582	46.000000	66.5	7.0	9.50	1.12e-40	14.63	3.31e-52	0.92
17-118	17	82331590	82331664	+	380.7	0.640	44.000000	65.5	2.0	32.76	6.24e-73	25.68	1.66e-66	0.95
17-64	17	27501902	27501976	+	374.9	0.813	53.000000	64.5	1.0	64.53	2.94e-90	19.11	1.51e-58	0.80
17-88	17	83613859	83613933	+	374.9	0.739	49.000000	64.5	3.0	21.51	1.41e-60	26.39	3.03e-67	0.84
17-127	17	90631558	90631632	+	374.9	0.725	42.000000	64.5	2.0	32.27	2.03e-71	25.43	2.95e-65	0.99
17-110	17	37027719	37027793	+	369.1	0.832	45.000000	63.5	3.0	21.18	3.02e-59	13.36	2.49e-48	0.92
17-132	17	49035257	49035331	+	363.4	0.629	41.000000	62.5	4.0	15.64	1.32e-50	18.27	8.88e-55	0.99
17-186	17	72882011	72882085	+	363.4	0.762	35.000000	62.5	2.0	31.27	2.05e-68	35.63	3.49e-73	1.15
17-136	17	86148618	86148692	+	357.6	0.671	41.000000	62.5	1.0	62.55	1.19e-86	14.63	3.83e-49	0.99
17-152	17	90390523	90390597	+	357.6	0.585	39.000000	62.5	6.0	10.42	1.53e-40	21.94	1.86e-59	1.04
17-130	17	23605374	23605448	+	351.8	0.669	41.000000	60.6	5.0	12.11	7.65e-43	8.42	4.68e-35	0.98
17-119	17	24874504	24874578	+	351.8	0.673	43.000000	61.6	2.0	30.78	6.35e-67	17.66	2.16e-51	0.97
17-121	17	25713603	25713677	+	351.8	0.782	42.000000	61.6	7.0	8.79	7.20e-36	23.13	7.22e-60	0.95
17-115	17	36099743	36099817	+	351.8	0.765	44.000000	60.6	3.0	20.19	2.67e-55	28.93	1.43e-65	0.89
17-143	17	40584016	40584090	+	351.8	0.663	39.000000	60.6	3.0	20.19	2.67e-55	40.36	3.89e-74	1.00
17-140	17	84351450	84351524	+	351.8	0.622	40.000000	60.6	3.0	20.19	2.67e-55	14.87	5.12e-48	1.00
17-163	17	10514836	10514910	+	346.1	0.758	37.000000	59.6	2.0	29.78	5.82e-64	26.29	4.03e-62	1.09
17-141	17	10567708	10567782	+	346.1	0.843	39.000000	61.6	4.0	15.39	2.05e-49	23.40	2.72e-57	1.00
17-107	17	15504688	15504762	+	346.1	0.804	45.000000	60.6	1.0	60.56	4.49e-83	20.84	2.55e-56	0.89
17-97	17	84027414	84027488	+	346.1	0.540	47.000000	59.6	3.0	19.86	5.34e-54	16.72	7.06e-51	0.87
17-122	17	32130646	32130720	+	340.3	0.791	42.000000	59.6	12.0	4.96	2.60e-22	20.07	1.70e-54	0.97
17-133	17	51695430	51695504	+	340.3	0.697	41.000000	58.6	2.0	29.29	1.72e-62	21.99	8.52e-56	0.95
17-126	17	64390446	64390520	+	340.3	0.767	42.000000	58.6	2.0	29.29	1.72e-62	33.65	3.12e-67	0.94
17-149	17	80151510	80151584	+	340.3	0.670	39.000000	60.6	4.0	15.14	3.13e-48	23.88	9.61e-59	1.02
17-147	17	74470317	74470391	+	334.5	0.835	39.000000	59.6	3.0	19.86	5.34e-54	30.82	5.60e-64	1.00
17-131	17	27179000	27179074	+	328.8	0.705	41.000000	56.6	3.0	18.86	3.87e-50	19.10	1.14e-50	0.93
17-200	17	78916040	78916114	+	328.8	0.739	34.000000	59.6	3.0	19.86	5.34e-54	14.82	1.26e-45	1.18
17-135	17	82200169	82200243	+	328.8	0.797	41.000000	56.6	2.0	28.30	1.42e-59	26.56	2.40e-59	0.94
17-169	17	12999794	12999868	+	323.0	0.691	36.000000	55.6	2.0	27.80	3.98e-58	14.53	2.07e-44	1.03
17-154	17	28984905	28984979	+	323.0	0.735	38.000000	56.6	1.0	56.59	5.27e-76	11.62	4.85e-38	0.98
17-156	17	47713396	47713470	+	323.0	0.687	38.000000	55.6	9.0	6.18	3.52e-25	15.73	3.21e-46	1.00
17-120	17	64873749	64873823	+	323.0	0.768	43.000000	55.6	3.0	18.53	7.23e-49	21.67	1.37e-53	0.91
17-166	17	79365146	79365220	+	323.0	0.619	37.000000	55.6	8.0	6.95	1.44e-27	16.54	1.50e-46	1.02
17-128	17	5007406	5007480	+	317.2	0.619	41.000000	54.6	4.0	13.65	2.78e-41	21.79	7.37e-52	0.90
17-129	17	17516630	17516704	+	317.2	0.804	41.000000	55.6	1.0	55.60	2.95e-74	24.93	7.24e-56	0.92
17-125	17	63351050	63351124	+	317.2	0.699	42.000000	57.6	5.0	11.52	1.26e-39	22.67	1.07e-53	0.89
17-139	17	82273077	82273151	+	317.2	0.598	40.000000	54.6	2.0	27.30	1.10e-56	11.65	9.23e-39	0.96
17-179	17	22118956	22119030	+	305.7	0.763	35.000000	52.6	4.0	13.16	4.98e-39	28.36	1.11e-54	1.02
17-171	17	24134201	24134275	+	305.7	0.713	36.000000	52.6	8.0	6.58	4.47e-25	17.98	9.81e-47	0.99
17-172	17	25762723	25762797	+	305.7	0.765	36.000000	52.6	6.0	8.77	1.01e-30	19.33	1.98e-47	1.00
17-286	17	31570421	31570495	+	305.7	0.948	27.000000	53.6	13.0	4.12	7.60e-17	20.81	6.31e-50	1.42
17-124	17	50919275	50919349	+	305.7	0.716	42.000000	52.6	1.0	52.62	4.65e-69	35.42	1.01e-61	0.85
17-162	17	10432978	10433052	+	299.9	0.772	37.000000	51.6	4.0	12.91	6.49e-38	12.93	6.34e-39	0.95
17-138	17	57672191	57672265	+	299.9	0.708	40.000000	52.6	4.0	13.16	4.98e-39	26.36	4.07e-52	0.89
17-158	17	69222055	69222129	+	299.9	0.708	38.000000	51.6	3.0	17.21	7.34e-44	18.59	7.26e-45	0.94
17-178	17	8430104	8430178	+	294.2	0.690	35.000000	51.6	3.0	17.21	7.34e-44	17.58	1.48e-44	1.05
17-168	17	10441670	10441744	+	294.2	0.694	36.000000	50.6	4.0	12.66	8.28e-37	22.13	1.80e-48	0.97
17-193	17	30664785	30664859	+	294.2	0.681	34.000000	52.6	3.0	17.54	4.23e-45	23.52	1.08e-50	1.08
17-183	17	35591147	35591221	+	294.2	0.780	35.000000	51.6	4.0	12.91	6.49e-38	12.18	5.51e-37	1.02
17-145	17	43458791	43458865	+	294.2	0.612	39.000000	50.6	2.0	25.32	5.21e-51	23.38	1.30e-49	0.92
17-160	17	85625058	85625132	+	294.2	0.688	38.000000	50.6	3.0	16.88	1.25e-42	12.79	1.48e-36	0.90
17-191	17	28418632	28418706	+	282.6	0.785	34.000000	48.6	5.0	9.73	2.15e-30	12.88	5.48e-36	1.05
17-146	17	65956391	65956465	+	282.6	0.814	39.000000	48.6	1.0	48.65	3.03e-62	14.04	2.17e-38	0.86
17-159	17	71420434	71420508	+	282.6	0.667	38.000000	50.6	1.0	50.63	1.23e-65	20.98	1.86e-46	0.90
17-187	17	84758570	84758644	+	282.6	0.588	35.000000	48.6	8.0	6.08	7.20e-22	15.96	3.82e-40	0.98
17-150	17	87677816	87677890	+	282.6	0.653	39.000000	48.6	6.0	8.11	5.11e-27	13.29	2.62e-37	0.88
17-153	17	27238768	27238842	+	276.9	0.602	38.000000	47.7	10.0	4.77	2.21e-17	11.37	6.28e-33	0.91
17-173	17	29193999	29194073	+	276.9	0.809	36.000000	50.6	1.0	50.63	1.23e-65	17.31	9.79e-42	0.98
17-155	17	45602009	45602083	+	276.9	0.697	38.000000	49.6	4.0	12.41	1.04e-35	10.52	4.13e-32	0.90
17-197	17	51837116	51837190	+	276.9	0.720	34.000000	48.6	3.0	16.22	3.41e-40	10.91	8.18e-33	1.01
17-175	17	56833587	56833661	+	276.9	0.667	36.000000	47.7	6.0	7.94	4.10e-26	11.63	4.98e-34	0.96
17-117	17	66484154	66484228	+	276.9	0.645	44.000000	47.7	6.0	7.94	4.10e-26	4.96	2.85e-18	0.80
17-238	17	8463689	8463763	+	271.1	0.784	30.000000	46.7	1.0	46.66	6.83e-59	25.49	1.96e-48	1.13
17-170	17	21368207	21368281	+	271.1	0.855	36.000000	46.7	1.0	46.66	6.83e-59	30.90	3.76e-51	0.92
17-180	17	24811473	24811547	+	271.1	0.648	35.000000	46.7	3.0	15.55	8.57e-38	19.56	2.89e-43	0.94
17-144	17	41262681	41262755	+	271.1	0.824	39.000000	46.7	2.0	23.33	1.81e-45	32.06	5.92e-53	0.87
17-165	17	46810853	46810927	+	271.1	0.673	37.000000	46.7	4.0	11.67	1.80e-32	6.76	4.91e-23	0.92
17-184	17	50783551	50783625	+	271.1	0.657	35.000000	46.7	1.0	46.66	6.83e-59	20.61	1.82e-42	0.96
17-192	17	28785190	28785264	+	265.3	0.655	34.000000	45.7	5.0	9.13	1.80e-27	9.86	4.54e-29	0.99
17-157	17	48350988	48351062	+	265.3	0.733	38.000000	45.7	4.0	11.42	2.08e-31	18.27	3.13e-40	0.88
17-176	17	70864853	70864927	+	265.3	0.446	36.000000	46.7	3.0	15.55	8.57e-38	6.94	1.69e-23	0.92
17-151	17	87973869	87973943	+	265.3	0.583	39.000000	45.7	6.0	7.61	2.48e-24	8.56	1.36e-26	0.86
17-202	17	15247824	15247898	+	259.6	0.558	33.000000	44.7	3.0	14.89	1.98e-35	17.36	2.72e-39	0.99
17-181	17	27602965	27603039	+	259.6	0.582	35.000000	44.7	4.0	11.17	2.34e-30	14.28	1.04e-35	0.93
17-185	17	70040942	70041016	+	259.6	0.624	35.000000	44.7	6.0	7.45	1.86e-23	23.29	8.50e-44	0.92
17-199	17	72164369	72164443	+	259.6	0.848	34.000000	44.7	7.0	6.38	6.21e-21	20.80	9.97e-42	0.97
17-201	17	83467304	83467378	+	259.6	0.756	34.000000	45.7	2.0	22.84	4.16e-44	9.04	1.53e-27	0.96
17-224	17	83954611	83954685	+	259.6	0.617	32.000000	44.7	4.0	11.17	2.34e-30	11.68	4.49e-32	1.02
17-167	17	7206899	7206973	+	253.8	0.682	36.000000	43.7	4.0	10.92	2.58e-29	14.82	1.30e-35	0.89
17-161	17	10335305	10335379	+	253.8	0.632	37.000000	46.7	2.0	23.33	1.81e-45	12.22	8.35e-31	0.86
17-164	17	31529524	31529598	+	253.8	0.831	37.000000	43.7	3.0	14.56	2.90e-34	13.23	7.05e-33	0.90
17-196	17	45607159	45607233	+	253.8	0.496	34.000000	43.7	5.0	8.74	1.43e-25	8.35	1.57e-24	0.94
17-221	17	47876982	47877056	+	253.8	0.670	32.000000	43.7	3.0	14.56	2.90e-34	11.11	1.56e-30	0.97
17-188	17	5848798	5848872	+	248.0	0.743	34.000000	42.7	1.0	42.69	2.68e-52	17.09	2.43e-37	0.99
17-137	17	7800031	7800105	+	248.0	0.683	40.000000	42.7	3.0	14.23	4.17e-33	22.40	3.81e-42	0.78
17-189	17	10079969	10080043	+	248.0	0.630	34.000000	42.7	4.0	10.67	2.78e-28	13.26	6.43e-33	0.90
17-214	17	26511464	26511538	+	248.0	0.802	32.000000	42.7	2.0	21.35	4.44e-40	10.54	5.62e-29	0.99
17-194	17	32553163	32553237	+	248.0	0.651	34.000000	42.7	2.0	21.35	4.44e-40	22.94	1.42e-42	1.02
17-243	17	33892601	33892675	+	248.0	0.606	30.000000	43.7	4.0	10.92	2.58e-29	11.14	6.49e-30	1.05
17-205	17	36997603	36997677	+	248.0	0.565	33.000000	42.7	4.0	10.67	2.78e-28	6.79	1.01e-21	0.96
17-142	17	39063807	39063881	+	248.0	0.760	39.000000	42.7	2.0	21.35	4.44e-40	22.32	3.84e-41	0.81
17-177	17	84716329	84716403	+	248.0	0.560	36.000000	42.7	3.0	14.23	4.17e-33	8.68	3.57e-25	0.86
17-209	17	90625043	90625117	+	248.0	0.760	33.000000	43.7	3.0	14.56	2.90e-34	17.35	1.31e-37	0.96
17-190	17	11068263	11068337	+	242.3	0.655	34.000000	41.7	3.0	13.90	5.85e-32	18.27	8.30e-37	0.95
17-213	17	18523534	18523608	+	242.3	0.768	32.000000	41.7	3.0	13.90	5.85e-32	20.66	8.51e-40	0.94
17-174	17	29667830	29667904	+	242.3	0.651	36.000000	41.7	5.0	8.34	1.04e-23	17.37	8.58e-37	0.86
17-220	17	47566295	47566369	+	242.3	0.697	32.000000	43.7	10.0	4.37	9.71e-15	11.26	8.90e-29	0.95
17-207	17	65747125	65747199	+	242.3	0.747	33.000000	41.7	6.0	6.95	6.93e-21	13.53	8.56e-32	0.95
17-236	17	83166652	83166726	+	242.3	0.571	31.000000	41.7	4.0	10.42	2.93e-27	20.06	2.75e-39	0.97
17-210	17	4163613	4163687	+	236.5	0.714	32.000000	40.7	4.0	10.18	3.01e-26	23.90	2.28e-41	0.92
17-239	17	9610578	9610652	+	236.5	0.766	30.000000	41.7	3.0	13.90	5.85e-32	25.40	1.99e-39	0.98
17-195	17	33063180	33063254	+	236.5	0.717	34.000000	40.7	5.0	8.14	8.55e-23	16.49	1.87e-33	0.85
17-289	17	43712153	43712227	+	236.5	0.626	27.000000	40.7	2.0	20.35	1.92e-37	15.16	1.12e-33	1.13
17-148	17	75387689	75387763	+	236.5	0.736	39.000000	40.7	1.0	40.71	4.62e-49	14.12	9.62e-32	0.82
17-226	17	90584881	90584955	+	236.5	0.479	32.000000	40.7	4.0	10.18	3.01e-26	15.24	9.06e-34	0.95
17-241	17	10432653	10432727	+	230.7	0.605	30.000000	39.7	5.0	7.94	6.86e-22	8.97	7.83e-23	0.93
17-182	17	27653389	27653463	+	230.7	0.704	35.000000	39.7	3.0	13.24	1.07e-29	12.25	1.82e-29	0.85
17-305	17	28787739	28787813	+	230.7	0.757	26.000000	39.7	3.0	13.24	1.07e-29	8.59	3.22e-22	1.07
